MockMarket,MobileTrafficSource,OSProductName,IsRewardsConsciousUser,Allsrpvs,Allbsrpvs,Allimprs,Allclicks,Allrevenue,DAU,ARPU,RPM
EU,Sapphire,ios,True,14149521,2009057,5556574,63417,25203.020000000208,22714,1.1095808752311442,0.0017811924516738205
EU,EdgeMobile,all,False,21655412,5857522,20531642,1215099,511805.8539368718,147984,3.4585215559578861,0.023634085277937533
US,Chrome,all,False,34678798,7458623,21826842,1059830,869762.74999958707,231699,3.7538476644249092,0.025080533356421034
US,Sapphire,android,True,85673883,9055478,23780717,275946,269011.35000001878,135875,1.9798443422264491,0.0031399458105572124
Others,Sapphire,android,False,9520424,489515,842401,25316,4749.3699294896378,53053,0.089521232154442493,0.00049886117776788491
EU,Chrome,ios,False,24,5,11,0,0,1,0,0
EU,Chrome,android,False,38043331,11010908,41984346,3008277,1141340.5671140002,419054,2.7236121528824451,0.030001068179702776
US,Sapphire,android,False,5451056,886638,2503793,106775,108766.64999999535,26770,4.0630052297346042,0.019953317302187933
US,Chrome,android,False,34678537,7458591,21826770,1059829,869762.69999963487,231698,3.75386365009467,0.025080720677450576
EU,Sapphire,android,False,4125601,746541,2341298,139667,47516.570000004845,25955,1.8307289539589615,0.011517490421396747
EU,Sapphire,ios,False,1371626,202940,602206,28186,12031.660000000033,7218,1.6668966472707165,0.0087718226396991845
US,Chrome,android,True,13292375,2390399,7229099,236134,232758.79000002277,49628,4.6900699202067937,0.017510699931353332
EU,EdgeMobile,android,True,17739588,4304772,14751667,822538,384646.08000005223,102612,3.7485487077539883,0.021682920708195264
US,EdgeMobile,all,False,28768077,8044092,23776098,1101838,1122170.8638551228,185578,6.0468959890457,0.039007503485725611
US,Sapphire,ios,False,9892406,2828868,8546233,433122,477517.34000009374,52169,9.1532776169773946,0.0482711020959
EU,EdgeMobile,all,True,24553539,6476458,22539409,1208190,577208.37999996752,133834,4.31286803054506,0.02350815416058628
US,Sapphire,all,True,119542075,14454628,39286822,612744,662935.90000012738,207351,3.1971676046902471,0.0055456281815430041
EU,Sapphire,android,True,39656481,5276356,14703406,269644,102792.54669937708,76448,1.3446074024091812,0.0025920743370894932
EU,Safari,android,True,858,24,58,0,0,2,0,0
US,Safari,ios,True,5492667,1024885,3200285,79818,85785.72999999793,17203,4.9866726733708031,0.015618228813069849
EU,EdgeMobile,android,False,9597185,2219199,7538469,512208,220615.02000000468,74188,2.9737291745296366,0.02298747184721402
US,Safari,android,True,583,91,219,6,3.7100000000000004,4,0.9275000000000001,0.0063636363636363647
Others,Chrome,ios,True,3226,177,291,0,0,8,0,0
US,Safari,all,False,61765844,15446641,48459222,2291261,2225153.2663176307,285378,7.7972137526986334,0.036025627146253042
EU,Chrome,all,False,38043355,11010913,41984357,3008277,1141340.5671140386,419054,2.723612152882537,0.030001049253254312
Others,Safari,all,True,2572097,144279,300664,3268,1017.7969311329449,8672,0.11736588228009051,0.00039570705581202609
US,EdgeMobile,android,False,12822243,3225836,8997776,449493,432895.06024104741,91379,4.737358257816866,0.03376125848192453
Others,Chrome,all,False,108394323,4708022,8350007,328835,55359.66299456593,700578,0.079019984918975369,0.00051072474519321394
US,Sapphire,all,False,15343462,3715506,11050026,539897,586283.99000013841,78939,7.4270511407560065,0.038210671750621754
US,EdgeMobile,ios,True,16505479,5195601,16265361,615325,718030.2459313,68909,10.419977737759943,0.043502539122390813
Others,Sapphire,ios,False,5859472,387439,673618,16022,4603.9114295608342,37952,0.12130879609930528,0.00078572120995899189
