MockMarket,MobileTrafficSource,OSProductName,IsRewardsConsciousUser,Allsrpvs,Allbsrpvs,Allimprs,Allclicks,Allrevenue,DAU,ARPU,RPM
US,EdgeMobile,android,False,12635982,3198442,8923064,447150,429518.08024105,91230,4.70807936250192,0.0339916660407596
US,EdgeMobile,all,False,28376709,7976490,23585469,1096101,1113838.47385511,185342,6.00963879668454,0.0392518552399824
US,Safari,ios,False,52188626,15232941,47847684,2276829,2192840.75631767,272055,8.0602847083041,0.0420175989365513
EU,Safari,all,True,735457,141974,423169,13653,6609.70999999992,3232,2.04508353960394,0.00898721475218798
US,Sapphire,ios,True,15729318,3846301,11269334,325112,377983.900000059,64342,5.87460601162629,0.024030533300939
Others,EdgeMobile,all,True,50517563,4297528,8364234,208243,76340.1632836241,303036,0.251917802781267,0.00151116084684497
US,Sapphire,all,False,14117595,3612010,10800194,536338,581230.970000078,78293,7.42379229305401,0.0411706788585505
Others,EdgeMobile,ios,False,22355997,2504874,5462327,186562,53822.9288518741,133746,0.402426456506169,0.00240753874013644
Others,Sapphire,all,False,14168620,837125,1434584,40900,9232.98766764245,90288,0.102261515014647,0.000651650454853221
EU,Safari,android,True,750,24,58,0,0,2,0,0
EU,Sapphire,all,False,5072193,918934,2862039,167495,59371.1900000068,32874,1.80602269270569,0.0117052308537957
Others,Chrome,ios,True,3203,176,288,0,0,8,0,0
Others,Sapphire,ios,True,6405378,706125,1659342,30633,9048.5436561489,24061,0.376066815849254,0.0014126478806011
Others,Sapphire,ios,False,5471872,371065,640661,15875,4514.75405358397,37721,0.119688079679329,0.000825084002985445
Others,EdgeMobile,all,False,106258788,8222877,14905432,459376,117888.945000881,712680,0.165416379021273,0.00110945124840762
Others,Safari,all,False,57343826,3285106,6000210,224072,56348.2591120289,348726,0.161583188841752,0.000982638638587333
EU,Sapphire,ios,True,6293222,1025151,2864205,56781,22726.7000000002,20638,1.10120651225895,0.00361129799647942
US,Safari,android,False,7910,1312,3017,52,33.56,32,1.04875,0.00424273072060683
EU,Chrome,android,True,5282040,1383735,4704077,261424,125234.400000008,38250,3.27410196078452,0.0237094758843189
EU,Safari,android,False,9320,1943,4401,120,38.68,56,0.690714285714286,0.00415021459227468
Others,Sapphire,android,False,8696748,466060,793923,25025,4718.23361405842,52568,0.0897548625410596,0.00054252849617563
Others,Sapphire,all,True,40284805,2268191,5163825,74118,19480.1821440043,108834,0.178989857434297,0.000483561535025534
US,EdgeMobile,ios,True,14985027,5042694,15756189,610982,710955.585931302,68188,10.4264032664296,0.0474443980602305
EU,Chrome,ios,False,22,5,11,0,0,1,0,0
EU,EdgeMobile,android,True,16573297,4169102,14352315,820852,383763.800000052,102175,3.75594617078593,0.0231555495566182
EU,Chrome,all,True,5282040,1383735,4704077,261424,125234.400000008,38250,3.27410196078453,0.023709475884319
Others,EdgeMobile,android,False,83902791,5718003,9443105,272814,64066.0161490045,578936,0.110661655431696,0.000763574314816351
Others,Chrome,ios,False,11730,556,825,8,1.52909561612789,59,0.0259168748496253,0.000130357682534347
Others,Chrome,android,False,106860801,4655038,8255049,327264,55167.2769187285,699685,0.0788458762424927,0.000516253634658124
EU,Sapphire,android,False,3916901,733332,2308690,139433,47393.1900000051,25766,1.83936932391543,0.012099665015788
US,Chrome,android,False,31742130,7364666,21573507,1054192,861598.269999597,228378,3.77268506598532,0.0271436815991742
EU,EdgeMobile,all,True,23006021,6291415,21979890,1205881,575993.089999965,133283,4.3215795712879,0.0250366236734273
Others,Safari,all,True,2423721,132305,270343,3213,990.109316277604,8614,0.114941875583655,0.000408507957919911
US,Safari,ios,True,2610710,778666,2354473,77934,81874.2199999981,15168,5.39782568565388,0.0313609018236411
US,Sapphire,android,False,4826123,838390,2398791,105705,107651.199999996,26462,4.0681429975057,0.0223059379133097
EU,Safari,ios,False,14244785,3277453,11240183,674433,252212.560000069,83126,3.03409955970538,0.0177056066483327
Others,EdgeMobile,ios,True,5373956,750254,1887690,59489,24991.5299590625,26753,0.934158036820636,0.00465049024574493
US,Safari,android,True,573,91,219,6,3.71,3,1.23666666666667,0.00647469458987784
Others,Safari,ios,True,2395631,130702,267157,3212,989.994985582874,8528,0.116087592118067,0.000413250198207852
Others,Sapphire,android,True,33879427,1562066,3504483,43485,10431.6384878535,84773,0.123053784670278,0.000307904808657286
US,Chrome,android,True,7600182,2039760,6069694,232827,226306.530000024,45840,4.93687892670209,0.0297764619320989
US,EdgeMobile,android,True,21079949,6408809,19571250,862818,885404.535424615,148181,5.97515562335668,0.0420022143044376
US,EdgeMobile,ios,False,15740727,4778048,14662405,648951,684320.393614021,94113,7.27126320076951,0.0434745100155807
EU,Safari,all,False,14254105,3279396,11244584,674553,252251.240000074,83181,3.03255839675014,0.0176967434995093
EU,Sapphire,ios,False,1155292,185602,553349,28062,11978,7108,1.68514350028137,0.0103679416112983
EU,EdgeMobile,all,False,21498252,5840292,20491666,1214136,511357.753936869,147850,3.45862532253547,0.0237860154368304
EU,EdgeMobile,ios,True,6432724,2122313,7627575,385029,192229.290000005,31108,6.17941654879789,0.0298830308901804
US,Sapphire,ios,False,9291472,2773620,8401403,430633,473579.770000097,51832,9.13682223337122,0.0509692942087214
EU,EdgeMobile,ios,False,11983944,3629806,12973407,702479,291008.913936917,73765,3.9450811894112,0.024283233794894
US,Safari,all,False,52196536,15234253,47850701,2276881,2192874.31631751,272086,8.05948970662771,0.0420118744339185
EU,Sapphire,all,True,25524544,4130482,11761246,311327,119632.916699379,91207,1.31166376154658,0.00468697566935493
EU,Safari,ios,True,734707,141950,423111,13653,6609.70999999992,3231,2.04571649644071,0.00899638903671793
EU,EdgeMobile,android,False,9514308,2210486,7518259,511657,220348.840000005,74086,2.97423048889135,0.0231597337399635
US,EdgeMobile,all,True,36064976,11451503,35327439,1473800,1596360.12135517,216368,7.37798621494476,0.0442634461022563
US,Sapphire,android,True,34785039,6008782,16320430,259206,252063.110000019,120199,2.09704831155017,0.00724630810389543
